nom;pays;ville;adresse;latitude;longitude;prixMoyen;livraison;reservation;typeCuisine
Le Louis XV - Alain Ducasse à l'Hôtel de Paris;France;Monaco;Place du Casino, Monaco, 98000, France;43.7391839;7.4271047;120;non;non;Mediterranean Cuisine
L'Ambroisie;France;Paris;9 place des Vosges, Paris, 75004, France;48.855494;2.3645215;120;non;non;Classic Cuisine
Flocons de Sel;France;Megève;1775 route du Leutaz, Le Leutaz, Megève, 74120, France;45.8302404;6.5969625;120;non;non;Modern Cuisine
Épicure;France;Paris;Le Bristol, 112 rue du Faubourg-Saint-Honoré, Paris, 75008, France;48.8717223;2.3145978;120;non;non;Modern Cuisine
Arpège;France;Paris;84 rue de Varenne, Paris, 75007, France;48.8557538;2.3170127;120;non;non;Creative
Le Pré Catelan;France;Paris;Route de Suresnes - bois de Boulogne, Paris, 75016, France;48.8639374;2.2507182;120;non;non;Creative
Le Cinq;France;Paris;Four Seasons Hotel George V, 31 avenue George-V, Paris, 75008, France;48.8687604;2.3008612;120;non;non;Modern Cuisine
Le Petit Nice;France;Marseille;Anse de Maldormé, Marseille, 13007, France;43.2802565;5.3520484;120;non;non;Seafood
Kei;France;Paris;5 rue du Coq-Héron, Paris, 75001, France;48.8643947;2.3422847;120;non;non;Modern Cuisine
L'Oustau de Baumanière;France;Les Baux-de-Provence;Mas de Baumanière, Les Baux-de-Provence, 13520, France;43.7402659;4.7873628;120;non;non;Creative
Plénitude - Cheval Blanc Paris;France;Paris;8 quai du Louvre, Paris, 75001, France;48.8588148;2.3421588;120;non;non;Creative
AM par Alexandre Mazzia;France;Marseille;9 rue François-Rocca, Marseille, 13008, France;43.2701104;5.3862325;120;non;non;Creative
Pic;France;Valence;285 avenue Victor-Hugo, Valence, 26000, France;44.9176875;4.8855601;120;non;non;Creative
Maison Lameloise;France;Chagny;36 place d'Armes, Chagny, 71150, France;46.9078385;4.7529917;120;non;non;Modern Cuisine
Le Coquillage;France;Saint-Méloir-des-Ondes;Lieu-dit Le Buot, Saint-Méloir-des-Ondes, 35350, France;48.6430654;-1.8711232;120;non;non;Creative
Restaurant Marcon;France;Saint-Bonnet-le-Froid;Larsiallas, 18 chemin de Brard, Saint-Bonnet-le-Froid, 43290, France;45.1386734;4.4342679;120;non;non;Creative
Pierre Gagnaire;France;Paris;6 rue Balzac, Paris, 75008, France;48.8732506;2.3003862;120;non;non;Creative
La Vague d'Or - Cheval Blanc St-Tropez;France;Saint-Tropez;Plage de la Bouillabaisse, Saint-Tropez, 83990, France;43.2665849;6.6261535;120;non;non;Creative
